yil,bebek_olum_orani
1990,6.399028
1991,6.403121
1992,6.329373
1993,6.248976
1994,6.139695
1995,6.022941
1996,5.946097
1997,5.8147397
1998,5.7044854
1999,5.5125217
2000,5.3258247
2001,5.1862984
2002,4.989681
2003,4.799732
2004,4.626271
2005,4.4140286
2006,4.234981
2007,4.067423
2008,3.9187064
2009,3.799341
2010,3.667206
2011,3.5869775
2012,3.4027445
2013,3.3062906
2014,3.2112625
2015,3.1473286
2016,3.0610874
2017,3.002174
2018,2.960326
2019,2.9198005
2020,2.9104512
2021,2.9259627
2022,2.9305568
2023,2.836145
2024,2.7679465
