yil,secimsel_demokrasi_endeksi
1789,0.052666668
1790,0.05281132
1791,0.05264151
1792,0.053132076
1793,0.052056603
1794,0.052415095
1795,0.05098113
1796,0.051764704
1797,0.052745096
1798,0.055784315
1799,0.05437255
1800,0.050433964
1801,0.050884616
1802,0.05037037
1803,0.05071698
1804,0.05081132
1805,0.049981132
1806,0.0495283
1807,0.048690908
1808,0.050037038
1809,0.052836362
1810,0.05630909
1811,0.056796297
1812,0.058092594
1813,0.054982144
1814,0.05260345
1815,0.057737704
1816,0.05837705
1817,0.058048386
1818,0.060306452
1819,0.064918034
1820,0.07298333
1821,0.07496774
1822,0.0775
1823,0.08189063
1824,0.08006349
1825,0.08349231
1826,0.084515154
1827,0.08546969
1828,0.083681814
1829,0.08390909
1830,0.08756521
1831,0.0918
1832,0.091661975
1833,0.092528574
1834,0.09250704
1835,0.09391549
1836,0.09543662
1837,0.09484507
1838,0.09427027
1839,0.09506667
1840,0.09786667
1841,0.10027631
1842,0.1
1843,0.103413336
1844,0.10532895
1845,0.1054026
1846,0.105115384
1847,0.105636366
1848,0.13143039
1849,0.14616667
1850,0.13315584
1851,0.1298961
1852,0.12864102
1853,0.13065384
1854,0.1316923
1855,0.13329487
1856,0.13442308
1857,0.13783333
1858,0.13950633
1859,0.1429367
1860,0.14936842
1861,0.15310666
1862,0.15547298
1863,0.15676315
1864,0.15631579
1865,0.1561579
1866,0.15934211
1867,0.16619179
1868,0.16928358
1869,0.17228357
1870,0.17786364
1871,0.18030304
1872,0.18229508
1873,0.1845246
1874,0.18491803
1875,0.1847213
1876,0.18509677
1877,0.18214753
1878,0.18253225
1879,0.18701613
1880,0.1876129
1881,0.18988709
1882,0.19019355
1883,0.19256452
1884,0.19570968
1885,0.19226985
1886,0.1942131
1887,0.19691803
1888,0.20103334
1889,0.20253333
1890,0.20162295
1891,0.20449181
1892,0.20642623
1893,0.20929508
1894,0.21214753
1895,0.21514754
1896,0.21613115
1897,0.21609835
1898,0.21804918
1899,0.21745901
1900,0.14221667
1901,0.14471667
1902,0.14579508
1903,0.14416666
1904,0.14482032
1905,0.14538583
1906,0.14708593
1907,0.14707032
1908,0.14716406
1909,0.14949219
1910,0.15025581
1911,0.14962879
1912,0.15086466
1913,0.1511955
1914,0.14870149
1915,0.14772059
1916,0.1487971
1917,0.14945652
1918,0.15403496
1919,0.16327398
1920,0.17765333
1921,0.1881419
1922,0.18917105
1923,0.19107237
1924,0.192875
1925,0.19196053
1926,0.18955263
1927,0.18788816
1928,0.18768421
1929,0.18736842
1930,0.18310526
1931,0.18255264
1932,0.18676667
1933,0.18198
1934,0.17514
1935,0.17201987
1936,0.17134437
1937,0.17065562
1938,0.17162915
1939,0.1664765
1940,0.14965068
1941,0.14498639
1942,0.14366439
1943,0.14304109
1944,0.14270748
1945,0.15908726
1946,0.19328667
1947,0.20994079
1948,0.21558064
1949,0.22363462
1950,0.23173548
1951,0.23525
1952,0.24125001
1953,0.24469231
1954,0.24546154
1955,0.2490641
1956,0.2581859
1957,0.26807052
1958,0.27046153
1959,0.2728269
1960,0.2844129
1961,0.28939104
1962,0.2928718
1963,0.29876283
1964,0.2973013
1965,0.29607052
1966,0.29248717
1967,0.29398078
1968,0.29533973
1969,0.29075
1970,0.2908718
1971,0.29017723
1972,0.28846836
1973,0.28725317
1974,0.28685445
1975,0.2906899
1976,0.2919363
1977,0.29589808
1978,0.3014204
1979,0.31043312
1980,0.31828025
1981,0.3197898
1982,0.3212548
1983,0.32401273
1984,0.33008918
1985,0.3379618
1986,0.34332484
1987,0.34780255
1988,0.35528663
1989,0.36018354
1990,0.40790644
1991,0.4235838
1992,0.44182184
1993,0.46234858
1994,0.46704
1995,0.4732343
1996,0.47968
1997,0.48530856
1998,0.48695454
1999,0.48696044
2000,0.49054238
2001,0.493226
2002,0.5047458
2003,0.5118531
2004,0.5122994
2005,0.5162825
2006,0.51967233
2007,0.51614046
2008,0.51979774
2009,0.52199435
2010,0.5232809
2011,0.52672064
2012,0.528
2013,0.52374303
2014,0.52390504
2015,0.522419
2016,0.521229
2017,0.5188324
2018,0.51897204
2019,0.51756984
2020,0.5112067
2021,0.5025922
2022,0.49559778
2023,0.49301675
2024,0.4850503
2025,0.48281565
