yil,nufus,not
1500,503051104,tarihsel tahmin
1600,516147616,tarihsel tahmin
1700,595456896,tarihsel tahmin
1750,753279296,tarihsel tahmin
1800,983104755,tarihsel tahmin
1850,1275602897,tarihsel tahmin
1900,1627273655,tarihsel tahmin
1950,2493092852,tarihsel tahmin
1960,3015470889,tarihsel tahmin
1970,3694683794,tarihsel tahmin
1980,4447606240,tarihsel tahmin
1990,5327803106,tarihsel tahmin
2000,6171702992,tarihsel tahmin
2010,7021732143,tarihsel tahmin
2020,7887001289,tarihsel tahmin
2023,8091734933,tarihsel tahmin
2025,8231613067,BM projeksiyonu
