yil,enerji_tuketimi
1800,97
1810,128
1820,153
1830,264
1840,356
1850,569
1860,1061
1870,1648
1880,2575
1890,3992
1900,5990
1910,9228
1920,11019
1930,12615
1940,15306
1950,20472
1960,31700
1965,41582.246
1966,43837.54
1967,45473.027
1968,48208.855
1969,51544.086
1970,54920.645
1971,57083.62
1972,60252.566
1973,63863.63
1974,63990.723
1975,64449.473
1976,68065.65
1977,70552.125
1978,73202.484
1979,75585.836
1980,74853.17
1981,74467.47
1982,74034.875
1983,75248.914
1984,78716.16
1985,80897.07
1986,82756
1987,85859.484
1988,89101.08
1989,90982.4
1990,92013.34
1991,92694.4
1992,93291.91
1993,93835.24
1994,95088.98
1995,96974.42
1996,99857.12
1997,100798.19
1998,101386.03
1999,103176.266
2000,105981.39
2001,107306.336
2002,109732.8
2003,113737.06
2004,119386.78
2005,123361.98
2006,126974.52
2007,130948.94
2008,132169.69
2009,129923.805
2010,136245.19
2011,139303.88
2012,140985.67
2013,143116.42
2014,144408.34
2015,145499.62
2016,146893.38
2017,149727.25
2018,153618.12
2019,154620.7
2020,147985.3
2021,155558.44
2022,157938.77
2023,160876.92
2024,164494.1
2025,166753.6
