yil,fosil_elektrik_payi
1900,58.77555
1901,60.502605
1902,61.83132
1903,63.770695
1904,64.81796
1905,64.91361
1906,64.001434
1907,63.258102
1908,61.4296
1909,60.833668
1910,60.065697
1911,58.51833
1912,57.673134
1913,58.525963
1914,59.169617
1915,58.324078
1916,58.01912
1917,58.312202
1918,52.875854
1919,49.04301
1920,55.46405
1921,56.07832
1922,56.390453
1923,57.880966
1924,58.299084
1925,59.575397
1926,57.87564
1927,57.578163
1928,56.59399
1929,58.121563
1930,57.73166
1931,58.439423
1932,55.58035
1933,55.981007
1934,58.039948
1935,56.827538
1936,59.188488
1937,59.014496
1938,59.657825
1939,61.64459
1940,62.34613
1941,62.871883
1942,62.705772
1943,62.363815
1944,61.97085
1945,60.332558
1946,58.871525
1947,61.99875
1948,63.032074
1949,63.938496
1950,64.353096
1951,65.33203
1952,65.66944
1953,67.528206
1954,68.04098
1955,69.25656
1956,69.62232
1957,69.34126
1958,67.88422
1959,69.873314
1960,69.95077
1961,70.22028
1962,71.05968
1963,71.71903
1964,72.94336
1965,72.11604
1966,72.00868
1967,72.868805
1968,73.69043
1969,74.18683
1970,74.60932
1971,74.28988
1972,74.43908
1973,75.13027
1974,72.43872
1975,71.30089
1976,72.50965
1977,71.7415
1978,70.43944
1979,70.284615
1980,69.98956
1981,68.550026
1982,67.5143
1983,66.476685
1984,65.19749
1985,63.579132
1986,63.256138
1987,63.330498
1988,62.816742
1989,63.95404
1990,63.663513
1991,63.18383
1992,63.2919
1993,62.37137
1994,62.82492
1995,62.288643
1996,62.52798
1997,63.072372
1998,63.500664
1999,63.63812
2000,64.65634
2001,65.09774
2002,65.551544
2003,66.915405
2004,66.402794
2005,66.866585
2006,67.11262
2007,68.31276
2008,67.687126
2009,67.21124
2010,67.45997
2011,68.103546
2012,68.22021
2013,67.713326
2014,67.21511
2015,66.48008
2016,65.856705
2017,65.33727
2018,64.86499
2019,63.664516
2020,62.10246
2021,62.122955
2022,61.402164
2023,60.582993
2024,59.08624
2025,57.390434
