yil,kentsel_pay
1950,28.7983
1951,29.3067
1952,29.868
1953,30.4186
1954,31.0009
1955,31.3147
1956,31.8788
1957,32.3667
1958,32.866
1959,33.6661
1960,34.3049
1961,34.5502
1962,34.4209
1963,34.5614
1964,35.1391
1965,35.3488
1966,35.5906
1967,35.8225
1968,36.0446
1969,36.2707
1970,36.4768
1971,36.6848
1972,36.9229
1973,37.2089
1974,37.4562
1975,37.7468
1976,38.0437
1977,38.3414
1978,38.6863
1979,39.1738
1980,39.5115
1981,39.8911
1982,40.1715
1983,40.5867
1984,41.0755
1985,41.4048
1986,41.7644
1987,42.1227
1988,42.4128
1989,42.6738
1990,42.8262
1991,43.1558
1992,43.4351
1993,43.7096
1994,44.0029
1995,44.303
1996,44.7953
1997,45.2977
1998,45.7964
1999,46.2877
2000,46.8357
2001,47.301
2002,47.8265
2003,48.3695
2004,48.8733
2005,49.368
2006,49.8805
2007,50.4247
2008,50.8893
2009,51.3846
2010,51.7782
2011,52.4885
2012,52.9506
2013,53.465
2014,53.947
2015,54.4699
2016,54.9436
2017,55.3748
2018,55.8136
2019,56.2041
2020,56.5033
2021,56.8767
2022,57.1304
2023,57.3536
2024,57.5863
2025,57.8335
