yil,kentsel_pay_2050
-10000,0
-9000,0.021518482
-8000,0.03361111
-7000,0.053072628
-6000,0.0864967
-5000,0.13551804
-4000,0.21021199
-3000,0.3222095
-2000,0.46842107
-1000,0.68605727
0,2.415129
100,2.6818564
200,2.9546509
300,3.3329778
400,3.577376
500,3.8401034
600,4.130396
700,4.4257307
800,4.567773
900,4.754437
1000,4.9721375
1100,5.077978
1200,5.112853
1300,6.034715
1400,5.7275877
1500,5.972042
1600,7.2254667
1700,7.094916
1710,7.2778115
1720,7.418512
1730,7.5821667
1740,7.7318892
1750,7.8377614
1760,7.9420114
1770,8.038155
1780,8.070846
1790,8.195632
1800,8.403178
1810,8.612032
1820,8.809391
1830,9.231229
1840,9.520039
1850,10.092406
1860,10.645563
1870,11.592893
1880,12.735611
1890,14.209745
1900,16.244783
1910,18.15612
1920,20.099634
1930,22.620415
1940,25.239872
1950,28.7983
1951,29.3067
1952,29.868
1953,30.4186
1954,31.0009
1955,31.3147
1956,31.8788
1957,32.3667
1958,32.866
1959,33.6661
1960,34.3049
1961,34.5502
1962,34.4209
1963,34.5614
1964,35.1391
1965,35.3488
1966,35.5906
1967,35.8225
1968,36.0446
1969,36.2707
1970,36.4768
1971,36.6848
1972,36.9229
1973,37.2089
1974,37.4562
1975,37.7468
1976,38.0437
1977,38.3414
1978,38.6863
1979,39.1738
1980,39.5115
1981,39.8911
1982,40.1715
1983,40.5867
1984,41.0755
1985,41.4048
1986,41.7644
1987,42.1227
1988,42.4128
1989,42.6738
1990,42.8262
1991,43.1558
1992,43.4351
1993,43.7096
1994,44.0029
1995,44.303
1996,44.7953
1997,45.2977
1998,45.7964
1999,46.2877
2000,46.8357
2001,47.301
2002,47.8265
2003,48.3695
2004,48.8733
2005,49.368
2006,49.8805
2007,50.4247
2008,50.8893
2009,51.3846
2010,51.7782
2011,52.4885
2012,52.9506
2013,53.465
2014,53.947
2015,54.4699
2016,54.9436
2017,55.3748
2018,55.8136
2019,56.2041
2020,56.5033
2021,56.8767
2022,57.1304
2023,57.3536
2024,57.5863
2025,57.8335
