yil,kisi_basi_enerji
1800,98.667
1810,125.47173
1820,140.43048
1830,227.09729
1840,291.89487
1850,446.0636
1860,817.39417
1870,1229.6962
1880,1820.3241
1890,2624.7761
1900,3681.0034
1910,5221.176
1920,5813.467
1930,6088.9473
1940,6678.07
1950,8211.487
1960,10512.454
1965,12470.184
1966,12878.087
1967,13091.742
1968,13598.395
1969,14240.698
1970,14864.775
1971,15142.155
1972,15670.704
1973,16288.396
1974,16012.027
1975,15832.391
1976,16424.13
1977,16726.98
1978,17055.178
1979,17302.312
1980,16829.99
1981,16443.174
1982,16050.318
1983,16019.516
1984,16460.324
1985,16614.912
1986,16691.162
1987,17002.732
1988,17328.123
1989,17381.523
1990,17270.41
1991,17106.277
1992,16943.713
1993,16781.63
1994,16754.139
1995,16839.115
1996,17092.805
1997,17012.96
1998,16877.793
1999,16944.68
2000,17172.146
2001,17155.463
2002,17314.21
2003,17715.055
2004,18357.658
2005,18728.182
2006,19032.518
2007,19378.86
2008,19310.469
2009,18740.543
2010,19403.36
2011,19590.123
2012,19578.074
2013,19627.053
2014,19563.242
2015,19476.578
2016,19434.057
2017,19583.408
2018,19873.229
2019,19794.506
2020,18763.19
2021,19556.156
2022,19689.658
2023,19881.635
2024,20153.719
2025,20257.705
