yil,gini_katsayisi
1820,0.5909
1850,0.6256
1880,0.6713
1900,0.6917
1910,0.6919
1920,0.6827
1930,0.6599
1940,0.6593
1950,0.654
1960,0.6561
1970,0.6643
1980,0.6895
1981,0.6877
1982,0.6838
1983,0.685
1984,0.6859
1985,0.6875
1986,0.6894
1987,0.6901
1988,0.6936
1989,0.6968
1990,0.6983
1991,0.7003
1992,0.7039
1993,0.7036
1994,0.7063
1995,0.7053
1996,0.7083
1997,0.7074
1998,0.7105
1999,0.7112
2000,0.7144
2001,0.7131
2002,0.7113
2003,0.7103
2004,0.709
2005,0.7091
2006,0.7063
2007,0.7042
2008,0.7
2009,0.6912
2010,0.6897
2011,0.6886
2012,0.6854
2013,0.6838
2014,0.6799
2015,0.6789
2016,0.6778
2017,0.6785
2018,0.6774
2019,0.6752
2020,0.6755
2021,0.6789
2022,0.6789
2023,0.6777
2024,0.6769
