yil,savas_olumu_yuksek_tahmin
1800,2063
1801,5307
1802,195
1803,13427
1804,16417
1805,69316
1806,71330
1807,44201
1808,32044
1809,69086
1810,28146
1811,32108
1812,144019
1813,108312
1814,102599
1815,46454
1816,9855
1817,9660
1818,26405
1819,28146
1820,3243
1821,7756
1822,13731
1823,13850
1824,13568
1825,18308
1826,26425
1827,43506
1828,37867
1829,29700
1830,6875
1831,39275
1832,7862
1833,1940
1834,1940
1835,1554
1836,2254
1837,19065
1838,2815
1839,12882
1840,10056
1841,17506
1842,16206
1843,14787
1844,7705
1845,20505
1846,25006
1847,9316
1848,27680
1849,25283
1850,3233
1851,13861
1852,13861
1853,49424
1854,54178
1855,66213
1856,59777
1857,20011
1858,20424
1859,35621
1860,25968
1861,59103
1862,71305
1863,62184
1864,121250
1865,108783
1866,100413
1867,56613
1868,54588
1869,48157
1870,194070
1871,176813
1872,6783
1873,6739
1874,2773
1875,8675
1876,26427
1877,94992
1878,67287
1879,22959
1880,12459
1881,23659
1882,21307
1883,23718
1884,16170
1885,38212
1886,19842
1887,16368
1888,15000
1889,18148
1890,963
1891,6650
1892,10964
1893,21324
1894,17700
1895,34635
1896,13627
1897,8647
1898,6829
1899,34268
1900,38317
1901,28202
1902,25817
1903,817
1904,48150
1905,45150
1906,700
1907,2400
1908,891
1909,10891
1910,891
1911,11991
1912,53384
1913,52422
1914,1577016
1915,1987417
1916,2033894
1917,2034654
1918,1630593
1919,371762
1920,338058
1921,52071
1922,46902
1923,10235
1924,27468
1925,58568
1926,50099
1927,37016
1928,37016
1929,3143
1930,87000
1931,30000
1932,57370
1933,18075
1934,20175
1935,39500
1936,98083
1937,439023
1938,440266
1939,657119
1940,724791
1941,6354402
1942,6298384
1943,6375478
1944,6572072
1945,6581340
1946,517902
1947,519235
1948,525727
1949,524485
1950,179525
1951,179525
1952,179525
1953,179525
1954,884
1955,884
1956,3216
1957,0
1958,900
1959,0
1960,0
1961,0
1962,14923
1963,12500
1964,13629
1965,158491
1966,148891
1967,192374
1968,169891
1969,173471
1970,161953
1971,150458
1972,137658
1973,156484
1974,27550
1975,44094
1976,23344
1977,23586
1978,24434
1979,74942
1980,66656
1981,66656
1982,103829
1983,100996
1984,100996
1985,98156
1986,98156
1987,109856
1988,98156
1989,33934
1990,36407
1991,78398
1992,33714
1993,34130
1994,44078
1995,28576
1996,7481
1997,5673
1998,49753
1999,54782
2000,49753
2001,15262
2002,13096
2003,13615
2004,0
2005,0
2006,721
2007,0
2008,4017
2009,3773
2010,0
2011,9400
