yil,tarim_istihdam_payi
1991,42.822468
1992,42.598583
1993,41.898315
1994,41.33536
1995,40.568993
1996,39.870407
1997,39.42035
1998,39.463345
1999,39.500744
2000,39.34752
2001,38.998592
2002,38.746067
2003,38.24563
2004,37.179356
2005,36.265175
2006,35.212574
2007,34.311054
2008,33.72585
2009,33.22353
2010,32.561657
2011,31.692682
2012,30.87729
2013,30.085678
2014,29.215431
2015,28.537577
2016,28.012707
2017,27.450184
2018,26.809841
2019,26.279526
2020,27.190374
2021,26.863895
2022,26.907053
2023,26.555992
2024,26.072107
2025,25.763578
