yil,bugday_verimi
1961,1.0889001
1962,1.2060001
1963,1.1320001
1964,1.2413001
1965,1.2151
1966,1.4079001
1967,1.3392
1968,1.4534001
1969,1.4174001
1970,1.4941001
1971,1.6245
1972,1.6046001
1973,1.6836001
1974,1.6155001
1975,1.5701001
1976,1.7911
1977,1.6724001
1978,1.9328002
1979,1.8522
1980,1.8554001
1981,1.8800001
1982,1.9992001
1983,2.1258001
1984,2.2201002
1985,2.1719
1986,2.3213003
1987,2.2900002
1988,2.2926002
1989,2.3732002
1990,2.5626001
1991,2.4522002
1992,2.5436003
1993,2.5366
1994,2.4510002
1995,2.5107
1996,2.5765002
1997,2.7139
1998,2.6956003
1999,2.7553003
2000,2.7217002
2001,2.7511003
2002,2.6896002
2003,2.7187002
2004,2.9204001
2005,2.8544
2006,2.8334
2007,2.8231003
2008,3.0695002
2009,3.0491002
2010,3.0166001
2011,3.1607
2012,3.0652
2013,3.2669
2014,3.3147001
2015,3.3404
2016,3.4525
2017,3.5232
2018,3.4366002
2019,3.5575001
2020,3.5288002
2021,3.5703
2022,3.7141004
2023,3.6325002
2024,3.6374002
