yil,ne_trd_gnfs_zs
1970,25.751724
1971,25.787249
1972,25.975544
1973,29.000017
1974,33.743847
1975,31.94171
1976,32.72638
1977,33.091377
1978,33.487198
1979,35.658585
1980,38.633015
1981,39.066456
1982,37.059956
1983,36.21913
1984,37.512787
1985,37.059113
1986,34.5896
1987,35.8556
1988,37.663418
1989,38.054123
1990,38.101242
1991,37.762726
1992,40.647297
1993,40.171864
1994,41.018845
1995,42.742054
1996,42.824738
1997,44.63369
1998,45.29111
1999,45.760246
2000,50.120434
2001,49.01098
2002,49.00316
2003,50.6554
2004,54.194645
2005,56.219624
2006,58.362617
2007,58.74235
2008,60.322636
2009,51.89433
2010,56.192825
2011,59.31071
2012,59.29536
2013,58.630802
2014,58.02678
2015,55.618187
2016,53.790894
2017,55.455177
2018,56.9897
2019,55.80072
2020,51.867615
2021,56.498993
2022,62.14707
2023,58.065895
2024,56.722847
